Id,Def,IDword,,,
1399,"5. Чудесный, дивный, приводящий в изумление",833,,,
1400,"6. Испытывающий страх перед кем-, чем-л., боящийся чего",833,,,
1401,à Страшная Богородица – название церкви и монастыря в честь иконы Пресвятой Богородицы ,833,,,
1402,Действие по глаг. стращати,834,,,
1403,"Запугивать, угрожать",835,,,
1404,Бояться, опасаться,836,,
1405,Содержать в порядке,837,,,
1406,Устраиваться,838,,,
1407,"2. Вм. състраятися. Снаряжаться, готовиться",838,,,
1408,"1. Истребить, уничтожить, разрушить",839,,,
1409,2. Съесть,839,,,
1410,"3. Приготовить к погребению, обрядить (покойника)",839,,,
1411,"1. Быть низведенным, умалиться",840,,,
1412,"2. Быть истребленным, уничтоженным",840,,,
1413,3. Вм. устрабитися,840,,,
1414,Поедать, уничтожать,842,,
1415,"Истребляться, уничтожаться",843,,,
1416,Быть полезным,844,,,
1417,Стрижка,845,,,
1418,Вм. скрегтати,846,,,
1419,Сладкий,848,,,
1420,"Медоточивый, медоносный",849,,,
1421,Мед,850,,,
1422,"Стрежень, самая глубокая судоходная часть русла реки",851,,,
1423,"Стережение; охрана, стража",852,,,
1424,"Стержень, сердцевина (дерева)",853,,,
1425,"Имеющий сердцевину, не полый, не пустой",854,,,
1426,1. Самая глубокая часть русла реки,855,,,
1427,"2. Стержень, сердечник",855,,,
1428,"То же, что стрижець",856,,,
1429,"1. Относящийся к стрежню, самому глубокому месту в русле реки",857,,,
1430,"2. Относящийся к стержню, сердцевине",857,,,
1431,Находящийся посредине (?),858,,,
1432,1. Протока,859,,,
1433,2. Сердцевина (дерева),859,,,
1434,Протрезветь,860,,,
1435,Овод,861,,,
1436,"1. Заостренная палка, которой погоняют упряжное животное; тж. перен",862,,,
1437,"2. Заноза, шип.",862,,,
1438,"3. Инструмент для кровопускания, ланцет",862,,,
1439,"1. Мн. Уколы, мучения",863,,,
1440,2. Молния,863,,,
1441,Острие, заноза,864,,
1442,"1. Колоть, жалить",865,,,
1443,"2. Мучить, терзать",865,,,
1444,"3. Побуждать, подстрекать",865,,,
1445,Стремиться. (1096),866,,,
1446,"Пестрый, пятнистый, пегий",867,,,
1447,Кольнуть, возбудить,868,,
1448,"То же, что стряховка",869,,,
